sentence1,sentence2,similarity,predicted_similarity
The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,4.625,4.131423
The young boys are playing outdoors and the man is smiling nearby,There is no boy playing outdoors and there is no man smiling,3.25,2.4159467
There is no boy playing outdoors and there is no man smiling,A group of kids is playing in a yard and an old man is standing in the background,2.875,2.667966
A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,2.75,2.4316475
A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,4.875,4.7754383
A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,3.0,2.617803
A person is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,2.875,3.654868
There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,3.125,2.879432
Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching,4.25,4.8048043
Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,3.01875,2.7856266
Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,3.375,2.776124
Two people are kickboxing and spectators are watching,Two women are sparring in a kickboxing match,3.625,3.4149814
Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,3.125,3.4854712
Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,4.0,4.399211
People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,4.25,3.3231397
A lone biker is jumping in the air,A man is jumping into an empty pool,0.625,0.25656196
Five children are standing in front of a hut made of wood,Five kids are standing close together and one kid has a gun,2.5,1.8958304
A man is sitting in a field,A man is running in a field,2.0,3.6691782
A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,3.0,4.360595
A person is wearing a hat and is sitting on the grass,A man is running in a field,0.4999999999999999,3.2682793
A group of friends are riding the current in a raft,A group is not riding the current in a raft,3.375,3.114298
A group is not riding the current in a raft,This group of people is practicing water safety and wearing preservers,2.25,2.2894213
A deer is jumping over a fence,A deer is jumping over the enclosure,4.41875,4.25272
A wild deer is jumping a fence,A deer is jumping over a fence,4.375,4.769973
There is no deer jumping fences,A deer is jumping over a fence,2.10625,4.025849
A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,3.625,4.131101
A family is watching a boy who is hitting a baseball,A child is hitting a baseball,3.375,4.0069227
A child is hitting a baseball,A family is watching a little boy who is missing a baseball,2.5187500000000003,4.4324517
A child is missing a baseball,A family is watching a little boy who is hitting a baseball,2.125,2.8589635
A family is watching a little boy who is hitting a baseball,A child is hitting a baseball,3.875,3.605913
A large group of Asian people is eating at a restaurant,A small group of people is waiting to eat in a restaurant,3.0,3.6558597
Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,2.75,2.525376
Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,3.375,3.779677
A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike dangerously along a roadway,3.5,4.4390626
Two dogs are playing by a tree,Two dogs are playing by a plant,4.5,4.1718984
Two dogs are playing by a tree,Two dogs are sleeping by a tree,3.20625,2.9657238
Two dogs are playing by a tree,There is no dog leaping in the air,2.125,2.494743
Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,2.5,2.7072904
The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,3.625,4.5636387
The equipment in front of the blond dancing girl is sound,A girl in white is dancing,2.125,4.1387033
A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,3.125,3.2927732
A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,3.625,4.289279
The black woman is wearing glasses over the headdress,The woman is wearing glasses and a black headdress,3.375,4.3424277
A cowboy is riding a horse and cornering a barrel,A cowgirl is riding a horse and corners a barrel,3.875,4.2907486
The brown horse is very near a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,2.375,3.421635
The boy is sitting near the blue ocean,The boy is wading through the blue ocean,2.75,3.868033
A boy is standing in the water,The boy is sitting near the blue ocean,2.25,3.1465645
A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,2.5,0.10542637
Two young girls are sitting on the ground,Two girls are sitting on the ground,4.25,4.7041316
A group of children in uniforms is standing at a gate and there is no one kissing the mother,A group of children in uniforms is standing at a gate and one is kissing the mother,3.5,3.659023
A crowd of people is near the water,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,0.7500000000000001,1.1757809
A group of people is near the ocean,A group of children in uniforms is standing at a gate and one is kissing the mother,1.0,1.783101
A man is in a parking lot and is playing tennis against a large wall,A lone man is in a parking lot and is playing tennis against a large wall,4.625,4.7724757
An Asian woman in a crowd is carrying a black bag,A cramped black train is on the bag of a girl,1.375,2.8530896
A dog is chasing another and is holding a stick in its mouth,A dog is chasing a stick and holding another dog in its mouth,2.75,4.28348
A man with tattoos is holding a couch with a pencil,A man with tattoos is lounging on a couch and holding a pencil,2.0,4.2861238
A man is sitting on a chair and rubbing his eyes,A tattooed man is on a sofa and is holding a pencil,1.75,1.7002642
A man with tattoos is holding a couch with a pencil,A man is sitting on a chair and rubbing his eyes,1.25,2.2314484
A man with tattoos is lounging on a couch and holding a pencil,There is no man sitting on a chair and rubbing his eyes,0.7500000000000001,1.5930423
A brown and white dog is running through the tall grass,A black and tan dog is running through the low and green grass,3.5,3.2631524
There is no man writing a note near a bike,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,2.125,2.6533444
A group of explorers are walking through the grass,Some people are walking,3.875,2.5561905
Two men are taking a break from a trip on a snowy road,Two men are taking a break from a trip on a road covered by snow,4.875,4.3266263
Two men are taking a break from a trip on a snowy road,Two men are breaking into a car during a trip on a snowy road,2.5,2.8732405
Two men are standing near the water and are holding fishing poles,Two men are standing near the water and are holding tools used for fishing,4.375,4.329906
Two men are holding some water standing near fishing poles,Two men are standing near the water and are holding fishing poles,3.25,2.344201
A woman is performing a trick on a ramp with a bicycle,A woman is jumping with a bicycle,4.125,3.6862285
A woman is performing a trick on a ramp with a bicycle,A woman is performing a trick on a ramp with a car,1.75,4.144405
A woman is jumping with a bicycle,The helmeted girl is perching on a bike,2.25,3.3686619
A blond girl is riding the waves,A blond girl waves while she is riding,2.75,4.228609
A lady is surfing and riding a wave,A blond girl is looking at the waves,2.875,1.3105388
A lady is surfing and riding a wave,A blond girl is riding the waves,3.75,3.6884844
Two children and an adult are standing next to a tree limb,Three people are standing next to a tree limb,4.5,4.302748
There is no child hanging on a large branch,Two children are hanging on a large branch,2.875,2.878278
Two children and an adult are standing next to a tree limb,There is no child hanging on a large branch,1.75,1.9455779
There is no man dressed in black and riding a green bike,A man dressed in black is riding a bike,2.75,2.3010838
A man is performing a trick on a green bicycle,A man is performing a trick on a bike,4.375,3.706338
A laughing child is holding a water gun and getting sprayed with water,A child is holding a squirt gun,4.375,3.8065262
Two daschunds are playing with a red ball,Two brown dogs are fighting over a red toy and are playing in the grass,3.5,3.1939116
A black person is running along a white stand and a dog barks behind him,A little dog is sprinting and its owner is trying to catch it,1.875,0.46348497
A man isn't sitting comfortably at the table,A man is sitting comfortably at a table,3.0625,3.2632527
A man is sitting and tables a comfortable discussion,A man is sitting comfortably at a table,3.375,4.5382185
A man is sitting comfortably at a table,"There is no man wearing a shirt dyed black, sitting at the table and laughing",2.25,3.3689225
A man is sitting and tables a comfortable discussion,A man wearing a dyed black shirt is sitting at the table and laughing,1.75,3.5215645
A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,A pedestrian woman is building pink bicycles for boa wearing riders,2.25,2.7782006
"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike","The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",3.75,3.6460314
"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people,2.875,2.5973516
A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike",2.0,2.937803
"A person, who is riding a bike, is wearing gear which is black",A biker is wearing gear which is black,4.625,3.2401302
One man is wearing a black helmet and pushing a bicycle,A biker is naked,2.0,2.2049913
The man in a grey t-shirt is sitting on a rock in front of the waterfall,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,3.125,2.5394862
The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,A woman is sitting and looking at the waterfall,2.625,2.230058
There is no man in a grey t-shirt sitting on a rock in front of the waterfall,A woman is sitting and looking at the waterfall,1.125,1.5209099
"A dog, which is brown, and a black one are running in the grass",There is no dog running in the grass,3.0,2.7917697
A black man is running in brown grass and racing a dog,"A dog, which is brown, and a black one are running in the grass",1.875,2.03644
A dog that has a brown and white coat is sitting in shallow water,A dog that has a brown and white coat is trotting through shallow water,3.875,4.136871
A white and brown dog is pacing through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water,3.5,3.4576466
A white and brown dog is walking through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water,3.375,3.2966347
A group of boys are playing with a ball in front of a large door made of wood,A bunch of boys are playing with a ball in front of a large door made of wood,4.875,4.8708463
A group of boys are playing with a ball in front of a large door made of wood,"The children are playing in front of a door, which is very large",3.5,3.5413725
A bunch of boys are playing with a ball in front of a large door made of wood,The children are playing in front of a large door,3.0,3.7318575
The children are playing in front of a large door,A ball made of wood is being played through a door in front of a large group of boys ,3.0,3.2829
"A black, red, white and pink dress is being worn by a woman","A dress, which is black, red, white and pink is being worn by a woman",4.875,4.6922574
"A woman is putting on a cloak, which is very large, and concealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",2.75,3.6397734
"A woman is taking off a cloak, which is very large, and revealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",3.0,3.1702697
A teenage girl is wearing beads that are red,The girl likes red and isn't wearing beads for teenagers,2.25,3.024736
"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling",3.375,3.7384655
"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",A teenage girl is wearing beads that are red,2.5,2.4803107
A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climber on the wall is attached to the climbing boy with an artificially built rope,4.0,2.6399632
A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climbing boy rescues the fearful cat from over the wall,1.5000000000000002,2.3376307
A father is in the swimming pool during his daughters launch,A father is launching the daughter in a swimming pool,2.75,2.7182047
A dad is launching his daughter into a swimming pool,The man is tossing a kid into the swimming pool that is near the ocean,4.0,3.143901
"A person is climbing a rock with a rope, which is pink",One man is climbing the cliff with a rope,3.875,4.3122535
A young child is climbing a rock climbing wall which is indoors,A young child is under a rock climbing wall which is indoors,3.75,3.8380566
The young boy is climbing the wall made of rock,A young kid is climbing a rock climbing wall which is indoors,4.125,3.4267497
A child is indoors watching a program about some young climbers on a rock wall.,The young boy is climbing the wall made of rock,3.0,2.3090312
A young boy isn't climbing a wall made of rock,A young child is climbing a rock climbing wall which is indoors,3.625,4.597803
A young climber is making a rock wall for the boys,A young child is climbing a rock climbing wall which is indoors,2.375,2.188257
The air is tricking a performing cyclist,The cyclist is performing a trick in the air,1.75,4.3909273
One man is doing a bicycle trick in midair,The air is tricking a performing cyclist,2.5,1.8390535
"A dog next to a tree, which is probably a pine, is biting a bucket",There is no dog which is furry and black in a back yard carrying a basket in its mouth.,2.75,2.3974144
A dog which is furry and black is in a back yard and is carrying a basket in its mouth,"A dog next to a tree, which is probably a pine, is dropping a bucket",2.25,1.9743526
A man and a woman are sitting comfortably on the bench,Two people are sitting comfortably on the bench,4.5,4.0183196
Nobody is sitting comfortably on the bench,Two large persons are sitting on a park bench and they have a bottle of soda between them,3.25,2.5816789
A man and a woman are sitting comfortably on the bench,Two large persons are sitting on a park bench and they have a bottle of soda between them,3.625,3.028125
A few men in a competition are running outside,The man is racing for the lead ,3.0,2.20296
A man with a camera is studying the subject,There is no man with a camera studying the subject,3.25,3.3532867
The bride and the groom are leaving after the marriage,The bride and the groom are leaving after the wedding,4.75,4.7154145
The bride and the groom are arriving after the wedding,The bride and the groom are leaving after the wedding,4.125,4.8253675
A married couple is walking down the aisle,A couple who have just got married are walking down the isle,4.75,3.5553682
A married couple is walking up the aisle,The bride and the groom are leaving after the wedding,3.625,3.1161537
The bride and the groom are arriving after the wedding,A married couple is walking down the aisle,3.75,3.3105664
A woman and a dog are peacefully sitting on a tree stump,A woman and a dog are sitting on a tree stump,4.375,4.7215495
"A woman, who is old, is near a white dog","A woman, who is old, is far from a white dog",3.25,3.0327213
"A woman, who is old, is near a dog that has a white coat",A woman and a dog are sitting on a tree stump,2.25,3.3676438
A dog is excitedly playing with water in the grass,A snap is depicting some water falling in droplets on the dog,2.375,3.2600255
The dog is snapping at some droplets of water,A dog is excitedly playing with water in the grass,4.0,3.108864
Two men are walking two dogs with golden coats in the snow,Two people are walking two dogs with golden coats in the snow,4.5,4.662084
"Two people are in the snow, wearing clothes that provide camouflage","Some people are in the snow, wearing clothes that provide camouflage",4.25,4.6387854
"Some people are in the snow, wearing clothes that provide camouflage",Two people are walking two dogs with golden coats in the snow,2.125,2.2453046
"Two people are in the snow, wearing clothes that provide camouflage",Two men are walking two dogs with golden coats in the snow,2.75,2.0553298
"A girl from Asia, in front of a brick window, doesn't look surprised","A girl from Asia, in front of a brick window, looks surprised",2.75,3.480032
There is no girl wearing a t-shirt and keeping her mouth open,A girl is wearing a t-shirt and has her mouth open.,3.625,3.2069774
"A girl from Asia, in front of a brick window, doesn't look surprised",A girl is wearing a t-shirt and has her mouth open.,1.375,1.7012213
There is no person in bike gear standing steadily in front of the mountains,A group of people is equipped with protective gear,1.6249999999999998,1.3273451
"A man with equipment used for climbing is hanging from a white, vertical rock.",A woman with a ponytail is climbing down a wall of rock,2.125,2.5499544
