sentence1,sentence2,similarity,predicted_similarity
The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,4.625,4.064271
The young boys are playing outdoors and the man is smiling nearby,There is no boy playing outdoors and there is no man smiling,3.25,3.337769
There is no boy playing outdoors and there is no man smiling,A group of kids is playing in a yard and an old man is standing in the background,2.875,2.6167548
A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,2.75,2.0949466
A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,4.875,3.7323675
A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,3.0,2.5366488
A person is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,2.875,3.139699
There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,3.125,3.0013125
Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching,4.25,4.561817
Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,3.01875,2.9319673
Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,3.375,3.2194529
Two people are kickboxing and spectators are watching,Two women are sparring in a kickboxing match,3.625,3.319054
Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,3.125,3.5351675
Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,4.0,4.1971984
People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,4.25,3.4905634
A lone biker is jumping in the air,A man is jumping into an empty pool,0.625,1.7527184
Five children are standing in front of a hut made of wood,Five kids are standing close together and one kid has a gun,2.5,2.1868336
A man is sitting in a field,A man is running in a field,2.0,3.960312
A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,3.0,4.1894946
A person is wearing a hat and is sitting on the grass,A man is running in a field,0.4999999999999999,2.6335733
A group of friends are riding the current in a raft,A group is not riding the current in a raft,3.375,3.2442374
A group is not riding the current in a raft,This group of people is practicing water safety and wearing preservers,2.25,2.16072
A deer is jumping over a fence,A deer is jumping over the enclosure,4.41875,3.8482807
A wild deer is jumping a fence,A deer is jumping over a fence,4.375,4.3204284
There is no deer jumping fences,A deer is jumping over a fence,2.10625,2.790892
A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,3.625,3.7974372
A family is watching a boy who is hitting a baseball,A child is hitting a baseball,3.375,4.0218725
A child is hitting a baseball,A family is watching a little boy who is missing a baseball,2.5187500000000003,3.0944512
A child is missing a baseball,A family is watching a little boy who is hitting a baseball,2.125,2.8501806
A family is watching a little boy who is hitting a baseball,A child is hitting a baseball,3.875,4.044962
A large group of Asian people is eating at a restaurant,A small group of people is waiting to eat in a restaurant,3.0,3.287209
Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,2.75,2.849323
Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,3.375,3.4546926
A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike dangerously along a roadway,3.5,4.0874023
Two dogs are playing by a tree,Two dogs are playing by a plant,4.5,4.2520556
Two dogs are playing by a tree,Two dogs are sleeping by a tree,3.20625,4.1044593
Two dogs are playing by a tree,There is no dog leaping in the air,2.125,2.126342
Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,2.5,2.9577215
The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,3.625,3.8349252
The equipment in front of the blond dancing girl is sound,A girl in white is dancing,2.125,3.5192215
A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,3.125,3.1326532
A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,3.625,4.570003
The black woman is wearing glasses over the headdress,The woman is wearing glasses and a black headdress,3.375,3.9517205
A cowboy is riding a horse and cornering a barrel,A cowgirl is riding a horse and corners a barrel,3.875,3.391973
The brown horse is very near a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,2.375,2.1883059
The boy is sitting near the blue ocean,The boy is wading through the blue ocean,2.75,3.8510015
A boy is standing in the water,The boy is sitting near the blue ocean,2.25,2.3423746
A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,2.5,1.0749171
Two young girls are sitting on the ground,Two girls are sitting on the ground,4.25,3.8944323
A group of children in uniforms is standing at a gate and there is no one kissing the mother,A group of children in uniforms is standing at a gate and one is kissing the mother,3.5,3.3371308
A crowd of people is near the water,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,0.7500000000000001,0.7524022
A group of people is near the ocean,A group of children in uniforms is standing at a gate and one is kissing the mother,1.0,2.2463903
A man is in a parking lot and is playing tennis against a large wall,A lone man is in a parking lot and is playing tennis against a large wall,4.625,4.288877
An Asian woman in a crowd is carrying a black bag,A cramped black train is on the bag of a girl,1.375,2.7484238
A dog is chasing another and is holding a stick in its mouth,A dog is chasing a stick and holding another dog in its mouth,2.75,4.7000017
A man with tattoos is holding a couch with a pencil,A man with tattoos is lounging on a couch and holding a pencil,2.0,4.564224
A man is sitting on a chair and rubbing his eyes,A tattooed man is on a sofa and is holding a pencil,1.75,2.679513
A man with tattoos is holding a couch with a pencil,A man is sitting on a chair and rubbing his eyes,1.25,1.4009016
A man with tattoos is lounging on a couch and holding a pencil,There is no man sitting on a chair and rubbing his eyes,0.7500000000000001,1.6066731
A brown and white dog is running through the tall grass,A black and tan dog is running through the low and green grass,3.5,3.2856052
There is no man writing a note near a bike,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,2.125,2.205545
A group of explorers are walking through the grass,Some people are walking,3.875,3.7138712
Two men are taking a break from a trip on a snowy road,Two men are taking a break from a trip on a road covered by snow,4.875,3.9069943
Two men are taking a break from a trip on a snowy road,Two men are breaking into a car during a trip on a snowy road,2.5,3.8780148
Two men are standing near the water and are holding fishing poles,Two men are standing near the water and are holding tools used for fishing,4.375,3.8803654
Two men are holding some water standing near fishing poles,Two men are standing near the water and are holding fishing poles,3.25,4.078305
A woman is performing a trick on a ramp with a bicycle,A woman is jumping with a bicycle,4.125,3.911019
A woman is performing a trick on a ramp with a bicycle,A woman is performing a trick on a ramp with a car,1.75,4.376684
A woman is jumping with a bicycle,The helmeted girl is perching on a bike,2.25,1.6792347
A blond girl is riding the waves,A blond girl waves while she is riding,2.75,4.1822896
A lady is surfing and riding a wave,A blond girl is looking at the waves,2.875,3.5705295
A lady is surfing and riding a wave,A blond girl is riding the waves,3.75,4.152951
Two children and an adult are standing next to a tree limb,Three people are standing next to a tree limb,4.5,4.2373276
There is no child hanging on a large branch,Two children are hanging on a large branch,2.875,2.7103653
Two children and an adult are standing next to a tree limb,There is no child hanging on a large branch,1.75,1.5177082
There is no man dressed in black and riding a green bike,A man dressed in black is riding a bike,2.75,3.3985956
A man is performing a trick on a green bicycle,A man is performing a trick on a bike,4.375,4.936761
A laughing child is holding a water gun and getting sprayed with water,A child is holding a squirt gun,4.375,3.8401062
Two daschunds are playing with a red ball,Two brown dogs are fighting over a red toy and are playing in the grass,3.5,3.1568384
A black person is running along a white stand and a dog barks behind him,A little dog is sprinting and its owner is trying to catch it,1.875,2.2511756
A man isn't sitting comfortably at the table,A man is sitting comfortably at a table,3.0625,3.3702612
A man is sitting and tables a comfortable discussion,A man is sitting comfortably at a table,3.375,2.4441936
A man is sitting comfortably at a table,"There is no man wearing a shirt dyed black, sitting at the table and laughing",2.25,2.8349
A man is sitting and tables a comfortable discussion,A man wearing a dyed black shirt is sitting at the table and laughing,1.75,2.8799
A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,A pedestrian woman is building pink bicycles for boa wearing riders,2.25,3.277828
"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike","The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",3.75,3.3254445
"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people,2.875,3.0377145
A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike",2.0,1.4182684
"A person, who is riding a bike, is wearing gear which is black",A biker is wearing gear which is black,4.625,3.5715292
One man is wearing a black helmet and pushing a bicycle,A biker is naked,2.0,0.72010034
The man in a grey t-shirt is sitting on a rock in front of the waterfall,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,3.125,3.1773832
The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,A woman is sitting and looking at the waterfall,2.625,2.4588063
There is no man in a grey t-shirt sitting on a rock in front of the waterfall,A woman is sitting and looking at the waterfall,1.125,1.8721958
"A dog, which is brown, and a black one are running in the grass",There is no dog running in the grass,3.0,3.1596222
A black man is running in brown grass and racing a dog,"A dog, which is brown, and a black one are running in the grass",1.875,3.8817081
A dog that has a brown and white coat is sitting in shallow water,A dog that has a brown and white coat is trotting through shallow water,3.875,3.1315928
A white and brown dog is pacing through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water,3.5,2.9521918
A white and brown dog is walking through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water,3.375,2.5491138
A group of boys are playing with a ball in front of a large door made of wood,A bunch of boys are playing with a ball in front of a large door made of wood,4.875,4.768641
A group of boys are playing with a ball in front of a large door made of wood,"The children are playing in front of a door, which is very large",3.5,4.254232
A bunch of boys are playing with a ball in front of a large door made of wood,The children are playing in front of a large door,3.0,4.4351225
The children are playing in front of a large door,A ball made of wood is being played through a door in front of a large group of boys ,3.0,3.8344595
"A black, red, white and pink dress is being worn by a woman","A dress, which is black, red, white and pink is being worn by a woman",4.875,4.129716
"A woman is putting on a cloak, which is very large, and concealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",2.75,2.0885649
"A woman is taking off a cloak, which is very large, and revealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",3.0,1.8548487
A teenage girl is wearing beads that are red,The girl likes red and isn't wearing beads for teenagers,2.25,2.950103
"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling",3.375,3.1977994
"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",A teenage girl is wearing beads that are red,2.5,2.0557816
A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climber on the wall is attached to the climbing boy with an artificially built rope,4.0,4.4402266
A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climbing boy rescues the fearful cat from over the wall,1.5000000000000002,3.753043
A father is in the swimming pool during his daughters launch,A father is launching the daughter in a swimming pool,2.75,3.164168
A dad is launching his daughter into a swimming pool,The man is tossing a kid into the swimming pool that is near the ocean,4.0,2.9106882
