sentence1,sentence2,similarity,predicted_similarity
The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,4.625,3.0359197
The young boys are playing outdoors and the man is smiling nearby,There is no boy playing outdoors and there is no man smiling,3.25,3.0359192
There is no boy playing outdoors and there is no man smiling,A group of kids is playing in a yard and an old man is standing in the background,2.875,3.0359888
A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,2.75,3.0359192
A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,4.875,3.0359192
A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,3.0,3.0359192
A person is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,2.875,3.0359192
There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,3.125,3.0359285
Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching,4.25,3.0359192
Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,3.01875,3.0359192
Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,3.375,3.0359192
Two people are kickboxing and spectators are watching,Two women are sparring in a kickboxing match,3.625,3.0359192
Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,3.125,3.0359192
Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,4.0,3.0359204
People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,4.25,3.0359204
A lone biker is jumping in the air,A man is jumping into an empty pool,0.625,3.0359192
Five children are standing in front of a hut made of wood,Five kids are standing close together and one kid has a gun,2.5,3.03592
A man is sitting in a field,A man is running in a field,2.0,3.0359192
A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,3.0,3.0359201
A person is wearing a hat and is sitting on the grass,A man is running in a field,0.4999999999999999,3.0359197
A group of friends are riding the current in a raft,A group is not riding the current in a raft,3.375,3.0359197
A group is not riding the current in a raft,This group of people is practicing water safety and wearing preservers,2.25,3.0359192
A deer is jumping over a fence,A deer is jumping over the enclosure,4.41875,3.0359192
A wild deer is jumping a fence,A deer is jumping over a fence,4.375,3.0359192
There is no deer jumping fences,A deer is jumping over a fence,2.10625,3.0359192
A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,3.625,3.0359192
A family is watching a boy who is hitting a baseball,A child is hitting a baseball,3.375,3.0359192
A child is hitting a baseball,A family is watching a little boy who is missing a baseball,2.5187500000000003,3.0359197
A child is missing a baseball,A family is watching a little boy who is hitting a baseball,2.125,3.0359197
A family is watching a little boy who is hitting a baseball,A child is hitting a baseball,3.875,3.0359197
A large group of Asian people is eating at a restaurant,A small group of people is waiting to eat in a restaurant,3.0,3.03592
Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,2.75,3.0359209
Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,3.375,3.0359206
A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike dangerously along a roadway,3.5,3.0359201
Two dogs are playing by a tree,Two dogs are playing by a plant,4.5,3.0359192
Two dogs are playing by a tree,Two dogs are sleeping by a tree,3.20625,3.0359192
Two dogs are playing by a tree,There is no dog leaping in the air,2.125,3.0359192
Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,2.5,3.0359192
The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,3.625,3.0359192
The equipment in front of the blond dancing girl is sound,A girl in white is dancing,2.125,3.0359192
A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,3.125,3.0359192
A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,3.625,3.0359192
The black woman is wearing glasses over the headdress,The woman is wearing glasses and a black headdress,3.375,3.0359192
A cowboy is riding a horse and cornering a barrel,A cowgirl is riding a horse and corners a barrel,3.875,3.0359192
The brown horse is very near a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,2.375,3.0359192
The boy is sitting near the blue ocean,The boy is wading through the blue ocean,2.75,3.0359192
A boy is standing in the water,The boy is sitting near the blue ocean,2.25,3.0359192
A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,2.5,3.0359192
Two young girls are sitting on the ground,Two girls are sitting on the ground,4.25,3.0359192
